season,pitcher,bf_22g,ros_k_rate,q10,q50,q90
2024,641729,90,0.31016042780748665,0.208955223880597,0.2736842105263158,0.35185185185185186
2024,641755,96,0.2751322751322751,0.16871103280021688,0.24242424242424243,0.32075471698113206
2024,641835,70,0.12,0.15315315315315314,0.23125,0.30246913580246915
2024,642048,72,0.22340425531914893,0.14906832298136646,0.21904761904761905,0.27419354838709675
2024,642100,75,0.3793103448275862,0.20279720279720279,0.2722772277227723,0.35570469798657717
2024,642397,82,0.2822085889570552,0.18333333333333332,0.2441860465116279,0.32
2024,642701,107,0.28888888888888886,0.13709677419354838,0.21739130434782608,0.30246913580246915
2024,643256,80,0.07407407407407407,0.12,0.20603015075376885,0.28459330143540695
2024,643338,82,0.20155038759689922,0.17714285714285713,0.24444444444444444,0.31382978723404253
2024,643377,81,0.3435897435897436,0.22277227722772278,0.2830188679245283,0.3533834586466165
2024,643410,92,0.35365853658536583,0.21,0.27450980392156865,0.35135135135135137
2024,643511,83,0.178743961352657,0.12,0.19318181818181818,0.2849162011173184
2024,647315,78,0.15267175572519084,0.12,0.19815668202764977,0.2857142857142857
2024,650556,100,0.32,0.22277227722772278,0.2857142857142857,0.3691275167785235
2024,650893,93,0.21910112359550563,0.12121212121212122,0.20603015075376885,0.2857142857142857
2024,655889,90,0.20588235294117646,0.14814814814814814,0.21212121212121213,0.28484848484848485
2024,656222,105,0.178743961352657,0.1592920353982301,0.22794117647058823,0.30246913580246915
2024,656234,109,0.19736842105263158,0.10256410256410256,0.19230769230769232,0.26865671641791045
2024,656464,93,0.2878787878787879,0.16363636363636364,0.24347826086956523,0.30538922155688625
2024,656546,87,0.33519553072625696,0.22556390977443608,0.2830188679245283,0.3470319634703196
2024,656629,102,0.3107344632768362,0.21428571428571427,0.2857142857142857,0.3617021276595745
2024,656641,94,0.21428571428571427,0.1592920353982301,0.2222222222222222,0.2980769230769231
2024,656730,88,0.25,0.2206896551724138,0.28,0.3470319634703196
2024,656945,99,0.30808080808080807,0.18857142857142858,0.25252525252525254,0.32
2024,657024,89,0.31645569620253167,0.125,0.21739130434782608,0.28739393939393987
2024,657044,89,0.18032786885245902,0.14814814814814814,0.21428571428571427,0.29545454545454547
2024,657097,79,0.23417721518987342,0.1951219512195122,0.2597402597402597,0.35570469798657717
2024,657508,102,0.2331288343558282,0.11904761904761904,0.2,0.27380952380952384
2024,657571,79,0.27058823529411763,0.1951219512195122,0.2631578947368421,0.35714285714285715
2024,657585,125,0.319672131147541,0.1746031746031746,0.24342105263157895,0.330188679245283
2024,657612,90,0.0945273631840796,0.10714285714285714,0.1794871794871795,0.2617801047120419
2024,660853,73,0.2097560975609756,0.22018348623853212,0.28421052631578947,0.35714285714285715
2024,660896,110,0.25984251968503935,0.18333333333333332,0.23232323232323232,0.31645569620253167
2024,661395,83,0.32413793103448274,0.18181818181818182,0.25,0.32
2024,661403,75,0.22564102564102564,0.20714285714285716,0.26490066225165565,0.3470319634703196
2024,661527,111,0.1875,0.11764705882352941,0.21428571428571427,0.2878787878787879
2024,662253,91,0.3191489361702128,0.22277227722772278,0.2885606661379857,0.3958333333333333
2024,663158,85,0.20689655172413793,0.20714285714285716,0.2641509433962264,0.35135135135135137
2024,663423,88,0.2727272727272727,0.16666666666666666,0.23529411764705882,0.2980769230769231
