season,batter,pa_22g,ros_woba_delta_vs_prior,q10,q50,q90
2024,621439,87,0.034408282115486744,-0.09880471380471384,-0.0396677078401701,0.02638158907233712
2024,621466,70,0.0286347905118573,-0.027533086083397607,0.055141895190143814,0.15866666666666665
2024,621493,96,-0.029454916246578144,-0.06440760294961762,-0.015286219794095057,0.032956210774976846
2024,621512,68,-0.0037279643610249047,-0.012603833132059278,0.0479214058945579,0.15393757159221078
2024,621550,61,-0.09584428642226181,-0.08778998778998781,-0.021510281692405264,0.04138182028172338
2024,621566,100,-0.039735274207140736,-0.07919099925843537,-0.027550237648418574,0.01883615154723345
2024,622534,59,-0.020864899298406125,-0.07478645066273926,-0.012405820667936274,0.04218995960436239
2024,622761,74,-0.00482524115115085,-0.06227253402310401,0.00022410007913137298,0.06501223144610035
2024,623912,88,-0.066878058948034,-0.09833333333333336,-0.03272240318955044,0.026019588953114958
2024,623993,96,0.01870920090167727,-0.06227253402310401,-0.014932255526767746,0.036491356332239544
2024,624413,98,-0.02798291939324915,-0.07286914765906366,-0.02666992536588697,0.03171937972616812
2024,624415,74,-0.03632921366539943,-0.07189696934836515,-0.018501062213583497,0.04314729953024715
2024,624424,90,0.002213741126605273,-0.0494888137233786,-0.004138278948732532,0.03886703186447671
2024,624428,70,-0.047898823079082886,-0.07189696934836515,-0.01655331648237207,0.044082254412381255
2024,624431,72,-0.010551065156741035,-0.05542327944167186,0.005474156455764045,0.061155993773786166
2024,624503,61,-0.008142641010949858,-0.05222057466561502,0.007750813329816197,0.07004313198572668
2024,624512,65,-0.08408179872741081,-0.05177010489510486,-0.003604727495800153,0.045394736842105265
2024,624585,93,0.0035597761098434266,-0.06924511856808474,-0.01995917817042564,0.01860418590432178
2024,624641,73,-0.01780337998700321,-0.05296552393919812,-0.0003972048501371672,0.06499019076819906
2024,628451,64,-0.01659075167687374,-0.056223989567377064,-0.0028928701110074173,0.04907341114595931
2024,630105,97,-0.0038608046330000922,-0.04937852027080819,-0.008438392492860047,0.04218995960436239
2024,641313,80,-0.11974481887866956,-0.07990011561755797,-0.022555294894674505,0.042283039298384936
2024,641343,73,0.00927361809340349,-0.06086888040045335,-0.0006742605617786612,0.06484318835370234
2024,641355,97,0.01768099625969899,-0.05215016106324308,-0.0020923200314763024,0.045394736842105265
2024,641432,87,0.01930931124637081,-0.045149171170523195,0.011965400778220003,0.07199976487679127
2024,641487,98,-0.05040173970207573,-0.06690844072828128,-0.01655331648237207,0.026019588953114958
2024,641584,75,-0.03681621525305506,-0.07980611435088814,-0.03485262008733625,0.029463553171996948
2024,641598,86,-0.07233111012338983,-0.08662093436980317,-0.034825359875417405,0.026019588953114958
2024,641645,68,-0.047530511561460875,-0.07427892921403387,-0.02528359455421514,0.02994842319621782
2024,641658,56,-0.05264204278016016,-0.07980611435088814,-0.02539631154560057,0.0493667389560114
2024,641680,86,-0.04566645427862087,-0.06941699013349575,-0.01954227006784004,0.042322930595823205
2024,641857,96,-0.024402218367000572,-0.05910694699067798,-0.013285531367630943,0.03886703186447671
2024,641933,94,0.00928488739520178,-0.0494888137233786,-0.0030871325528391003,0.04768832871303935
2024,642086,77,0.047555100601002376,-0.05106551197655518,0.005474156455764045,0.06540573766387858
2024,642133,71,-0.004654965565492886,-0.08078654410015196,-0.02231630146753244,0.02378713909554575
2024,642136,66,0.0008380259817425961,-0.03440878668804864,0.01978526665028263,0.08017115709020617
2024,642180,57,-0.05668948779472613,-0.06941699013349575,-0.004064728984377264,0.07502131287297525
2024,642350,84,-0.048061525885322254,-0.07489513168587092,-0.019200032928616773,0.036491356332239544
