player_key,player,mlbam,seed,broad_2015_2024,current_2022_2025,delta_current_minus_broad
moises_ballesteros,Moisés Ballesteros,694208,20260429,0.3466956567451728,0.3069685441082476,-0.03972711263692519
andy_pages,Andy Pages,681624,20260430,0.3324519421182483,0.33253478714114104,8.284502289274132e-05
ben_rice,Ben Rice,700250,20260430,0.3510705418032144,0.3370636072984868,-0.01400693450472762
mike_trout,Mike Trout,545361,20260430,0.37824692284683,0.3718641203394213,-0.006382802507408691
moises_ballesteros,Moisés Ballesteros,694208,20260430,0.33256015266519345,0.365236224446804,0.03267607178161053
andy_pages,Andy Pages,681624,20260431,0.3331138594381811,0.31525554937816347,-0.017858310060017646
ben_rice,Ben Rice,700250,20260431,0.3450415712145761,0.34193386759099975,-0.0031077036235763744
mike_trout,Mike Trout,545361,20260431,0.3789951595573901,0.3698099795902771,-0.009185179967112989
moises_ballesteros,Moisés Ballesteros,694208,20260431,0.3359131735065523,0.35002212077088374,0.014108947264331428
andy_pages,Andy Pages,681624,20260432,0.33728674594324404,0.3295422323163206,-0.0077445136269234105
ben_rice,Ben Rice,700250,20260432,0.35491052492087566,0.3414259086031374,-0.013484616317738285
mike_trout,Mike Trout,545361,20260432,0.38129311629189705,0.3675708680400889,-0.013722248251808122
moises_ballesteros,Moisés Ballesteros,694208,20260432,0.3515778884102898,0.3380121584555488,-0.013565729954741035
andy_pages,Andy Pages,681624,20260433,0.32521138846619035,0.3173265005709662,-0.00788488789522418
ben_rice,Ben Rice,700250,20260433,0.3453936770166852,0.36040945626423326,0.015015779247548044
mike_trout,Mike Trout,545361,20260433,0.384250337035274,0.3739129216264434,-0.010337415408830597
moises_ballesteros,Moisés Ballesteros,694208,20260433,0.3531997859064541,0.3379764369286448,-0.015223348977809303
andy_pages,Andy Pages,681624,20260434,0.33713908645547436,0.31566741992498953,-0.021471666530484823
ben_rice,Ben Rice,700250,20260434,0.33518524926776394,0.33182423371675474,-0.0033610155510092055
mike_trout,Mike Trout,545361,20260434,0.39267968844945844,0.356463152851871,-0.03621653559758742
moises_ballesteros,Moisés Ballesteros,694208,20260434,0.34750322998973443,0.36516663419893775,0.017663404209203315
andy_pages,Andy Pages,681624,20260435,0.3281955426914042,0.3250810885696596,-0.003114454121744603
ben_rice,Ben Rice,700250,20260435,0.3512916366572074,0.3368478446694829,-0.014443791987724497
mike_trout,Mike Trout,545361,20260435,0.38079538374930333,0.35835158523529714,-0.022443798514006186
moises_ballesteros,Moisés Ballesteros,694208,20260435,0.3352090521909947,0.35131695583496286,0.016107903643968136
andy_pages,Andy Pages,681624,20260436,0.3209081201843253,0.32755713694409927,0.0066490167597739736
ben_rice,Ben Rice,700250,20260436,0.33362676412933384,0.3314124938747764,-0.002214270254557449
mike_trout,Mike Trout,545361,20260436,0.36746013293277446,0.35918606365282035,-0.00827406927995411
moises_ballesteros,Moisés Ballesteros,694208,20260436,0.3400925199230234,0.35373378053063914,0.013641260607615724
andy_pages,Andy Pages,681624,20260437,0.3395452223989602,0.3344320437423605,-0.0051131786565996595
ben_rice,Ben Rice,700250,20260437,0.3437178417897423,0.32963974677404667,-0.014078095015695624
mike_trout,Mike Trout,545361,20260437,0.3813111732269017,0.3838525383208753,0.002541365093973569
moises_ballesteros,Moisés Ballesteros,694208,20260437,0.34930708079539513,0.3099996034909597,-0.039307477304435456
andy_pages,Andy Pages,681624,20260438,0.338572651801879,0.3316197933266205,-0.006952858475258505
ben_rice,Ben Rice,700250,20260438,0.3612973447812329,0.32774003001464047,-0.033557314766592405
mike_trout,Mike Trout,545361,20260438,0.3793142236289754,0.35476390992749796,-0.024550313701477422
moises_ballesteros,Moisés Ballesteros,694208,20260438,0.33517983680837904,0.32013369489703836,-0.015046141911340682
andy_pages,Andy Pages,681624,20260439,0.33403365967984344,0.32643551230386736,-0.007598147375976083
ben_rice,Ben Rice,700250,20260439,0.3558854583341967,0.3419425857768153,-0.013942872557381414
mike_trout,Mike Trout,545361,20260439,0.38071747401832917,0.37809432268054605,-0.002623151337783125
moises_ballesteros,Moisés Ballesteros,694208,20260439,0.3134712683067908,0.3567809358518203,0.04330966754502952
andy_pages,Andy Pages,681624,20260440,0.33286706406086347,0.34494081259714826,0.01207374853628479
ben_rice,Ben Rice,700250,20260440,0.35788980854782415,0.3189877667860337,-0.03890204176179046
mike_trout,Mike Trout,545361,20260440,0.36809759156098537,0.3743012569557864,0.00620366539480105
