batter,n_borderline_spot79,actual_pct,expected_pct,residual_pp_med,residual_pp_lo,residual_pp_hi,p_dir_pos,p_two_sided,q_bh,bh_significant_q10,ci_excludes_zero,abs_residual_pp,flagged,chase_rate,n_total_pa,qualified_200pa,batter_name
665966,51,64.70588235294117,60.01259692140597,3.9215686274509887,-3.9215686274509776,11.813725490196036,0.832,0.3360000000000001,0.8160000000000002,False,False,3.9215686274509887,False,0.2959738846572361,457.0,True,665966
807713,51,62.745098039215684,59.34884758038932,3.9215686274509776,-3.9215686274509776,11.764705882352944,0.725,0.55,0.8965753424657534,False,False,3.9215686274509776,False,0.3024096385542169,440.0,True,Matt Shaw
691720,78,62.82051282051282,58.81855210398972,3.8461538461538436,-2.564102564102566,10.256410256410254,0.848,0.30400000000000005,0.8160000000000002,False,False,3.8461538461538436,False,0.2389937106918239,156.0,False,Kyle Karros
691594,54,72.22222222222221,67.889864987395,3.703703703703698,-1.851851851851849,12.962962962962965,0.807,0.3859999999999999,0.8654545454545455,False,False,3.703703703703698,False,0.3024054982817869,350.0,True,Javier Sanoja
687401,61,68.85245901639344,65.12130129594387,3.2786885245901676,-4.918032786885251,11.475409836065575,0.757,0.486,0.8925,False,False,3.2786885245901676,False,0.3294392523364486,514.0,True,Joey Ortiz
643289,61,70.49180327868852,67.33740666968127,3.2786885245901676,-3.2786885245901676,9.836065573770492,0.727,0.546,0.8965753424657534,False,False,3.2786885245901676,False,0.34977578475336324,401.0,True,Mauricio Dubón
663837,32,53.125,49.115437394435034,3.125,-6.25,15.625,0.638,0.724,0.9080970873786408,False,False,3.125,False,0.2524752475247525,101.0,False,Matt Vierling
694388,34,61.76470588235294,59.98414367044616,2.941176470588236,-8.823529411764708,11.764705882352944,0.545,0.9099999999999999,0.9416521739130435,False,False,2.941176470588236,False,0.3434343434343434,105.0,False,Joey Loperfido
688363,68,63.23529411764706,60.69706305304787,2.941176470588236,-5.882352941176472,10.29411764705882,0.687,0.6259999999999999,0.8994186046511627,False,False,2.941176470588236,False,0.2756598240469208,187.0,False,Graham Pauley
608348,35,57.14285714285714,54.53858174739082,2.857142857142858,-8.571428571428575,11.499999999999934,0.575,0.8500000000000001,0.9412792792792792,False,False,2.857142857142858,False,0.2275943396226415,431.0,True,Carson Kelly
573262,38,52.63157894736842,49.375556441429765,2.631578947368418,-7.8947368421052655,13.157894736842103,0.636,0.728,0.9080970873786408,False,False,2.631578947368418,False,0.22107081174438686,559.0,True,Mike Yastrzemski
672016,40,65.0,61.30113817581275,2.500000000000002,-4.999999999999993,12.5,0.675,0.6499999999999999,0.8994186046511627,False,False,2.500000000000002,False,0.3018292682926829,159.0,False,Denzel Clarke
663647,80,53.75,51.03895063389541,2.500000000000002,-5.000000000000004,9.999999999999998,0.69,0.6200000000000001,0.8994186046511627,False,False,2.500000000000002,False,0.26969416126042633,576.0,True,Ke'Bryan Hayes
595978,41,63.41463414634146,62.274319054985405,2.4390243902439046,-7.317073170731703,12.195121951219512,0.507,0.986,0.986,False,False,2.4390243902439046,False,0.3027027027027027,188.0,False,Austin Hedges
687551,44,56.81818181818182,55.186458160488414,2.272727272727282,-6.818181818181812,11.36363636363637,0.564,0.8720000000000001,0.9412792792792792,False,False,2.272727272727282,False,0.21465968586387435,110.0,False,Drew Gilbert
665804,48,60.416666666666664,57.837725398398945,2.083333333333326,-6.25,10.468749999999948,0.656,0.688,0.9080970873786408,False,False,2.083333333333326,False,0.3582887700534759,100.0,False,Miguel Amaya
677942,52,46.15384615384615,44.19296118630926,1.9230769230769273,-5.769230769230771,9.61538461538462,0.611,0.778,0.9080970873786408,False,False,1.9230769230769273,False,0.2524850894632207,265.0,True,Blaze Alexander
624428,52,57.692307692307686,55.19470323098239,1.9230769230769162,-7.692307692307699,11.538461538461531,0.632,0.736,0.9080970873786408,False,False,1.9230769230769162,False,0.2994413407821229,465.0,True,Adam Frazier
702332,54,50.0,48.31023076345958,1.8518518518518545,-5.555555555555558,11.11111111111111,0.564,0.8720000000000001,0.9412792792792792,False,False,1.8518518518518545,False,0.24678362573099416,514.0,True,Caleb Durbin
678882,55,70.9090909090909,68.54967057326347,1.8181818181818188,-5.454545454545457,9.090909090909093,0.663,0.6739999999999999,0.9080970873786408,False,False,1.8181818181818188,False,0.42318307267709293,601.0,True,Ceddanne Rafaela
681351,57,59.64912280701754,57.19789323986706,1.754385964912275,-7.017543859649122,10.526315789473683,0.648,0.704,0.9080970873786408,False,False,1.754385964912275,False,0.31406761177753545,462.0,True,Logan O'Hoppe
666139,59,55.932203389830505,53.79491956763649,1.6949152542372836,-5.084745762711873,8.516949152542328,0.609,0.782,0.9080970873786408,False,False,1.6949152542372836,False,0.36921420882669537,439.0,True,Josh Lowe
690976,97,56.70103092783505,55.26731431397464,1.0309278350515427,-5.180412371134023,8.24742268041237,0.628,0.744,0.9080970873786408,False,False,1.0309278350515427,False,0.19306930693069307,97.0,False,Alex Freeland
678218,32,62.5,63.20886766291316,0.0,-12.5,9.375,0.337,0.674,0.9080970873786408,False,False,0.0,False,,2.0,False,Brandon Valenzuela
673237,34,55.88235294117647,55.07151744191141,0.0,-8.823529411764708,11.764705882352944,0.439,0.878,0.9412792792792792,False,False,0.0,False,0.44358727097396333,571.0,True,Yainer Diaz
682177,30,53.333333333333336,54.43255364793652,0.0,-13.33333333333333,9.999999999999998,0.319,0.638,0.8994186046511627,False,False,0.0,False,0.2597864768683274,429.0,True,Daniel Schneemann
680869,33,51.515151515151516,51.76268256030685,0.0,-12.121212121212121,12.121212121212121,0.382,0.764,0.9080970873786408,False,False,0.0,False,0.263681592039801,101.0,False,Zack Gelof
681715,34,52.94117647058824,52.98078104233079,0.0,-8.823529411764708,8.823529411764708,0.384,0.768,0.9080970873786408,False,False,0.0,False,0.21453900709219859,296.0,True,Heriberto Hernández
702222,63,61.904761904761905,60.85149108453189,0.0,-6.349206349206349,7.936507936507942,0.487,0.974,0.9822542372881355,False,False,0.0,False,,,,Justin Crawford
686217,54,59.25925925925925,59.36616993262821,0.0,-7.4074074074074066,7.4074074074074066,0.39,0.78,0.9080970873786408,False,False,0.0,False,0.2633969118982743,601.0,True,Sal Frelick
687231,31,58.06451612903226,57.618759708815794,0.0,-12.903225806451612,12.903225806451617,0.419,0.838,0.9412792792792792,False,False,0.0,False,0.30945558739255014,197.0,False,Darell Hernaiz
676439,31,45.16129032258064,46.70499783416385,0.0,-16.12903225806452,9.677419354838706,0.318,0.636,0.8994186046511627,False,False,0.0,False,0.2317596566523605,106.0,False,Hunter Feduccia
810938,38,52.63157894736842,52.83770944232897,0.0,-10.526315789473683,7.89473684210526,0.362,0.724,0.9080970873786408,False,False,0.0,False,0.3351063829787234,295.0,True,Ben Williamson
665561,37,59.45945945945946,59.33482266571144,0.0,-10.81081081081081,10.81081081081081,0.41,0.82,0.9382692307692307,False,False,0.0,False,0.2330508474576271,125.0,False,Rafael Marchán
592206,32,50.0,49.37176442397062,0.0,-12.5,12.5,0.452,0.904,0.9416521739130435,False,False,0.0,False,0.4077750206782465,601.0,True,Nick Castellanos
660688,38,55.26315789473685,54.240112124844664,0.0,-7.894736842105255,10.526315789473689,0.473,0.946,0.9621709401709402,False,False,0.0,False,0.35023041474654376,271.0,True,Keibert Ruiz
668904,47,65.95744680851064,65.38338023468324,0.0,-8.510638297872342,10.638297872340418,0.451,0.902,0.9416521739130435,False,False,0.0,False,0.31343283582089554,406.0,True,Royce Lewis
643376,51,54.90196078431373,54.64540526537158,0.0,-9.80392156862745,11.764705882352944,0.452,0.904,0.9416521739130435,False,False,0.0,False,0.19969512195121952,339.0,True,Danny Jansen
669016,34,50.0,51.01575238435371,0.0,-11.764705882352944,8.823529411764708,0.317,0.634,0.8994186046511627,False,False,0.0,False,0.287317620650954,440.0,True,Brandon Marsh
630105,70,51.42857142857142,51.550677182409274,0.0,-7.142857142857151,7.14285714285714,0.393,0.786,0.9080970873786408,False,False,0.0,False,0.22343324250681199,537.0,True,Jake Cronenworth
642086,36,63.888888888888886,63.11120350914099,0.0,-11.111111111111116,11.111111111111105,0.462,0.924,0.947896551724138,False,False,0.0,False,0.3294663573085847,225.0,True,Dominic Smith
663604,53,58.490566037735846,58.081729520893234,0.0,-7.547169811320753,9.433962264150942,0.436,0.872,0.9412792792792792,False,False,0.0,False,0.33707865168539325,153.0,False,Brandon Lockridge
543877,45,60.0,60.50197148153802,0.0,-11.111111111111116,8.888888888888891,0.379,0.758,0.9080970873786408,False,False,0.0,False,0.2632794457274827,221.0,True,Christian Vázquez
672275,70,48.57142857142857,48.43571040005939,0.0,-7.142857142857145,7.14285714285714,0.435,0.87,0.9412792792792792,False,False,0.0,False,0.28941176470588237,460.0,True,Patrick Bailey
702284,96,52.083333333333336,52.77133257662433,-1.041666666666663,-7.2916666666666625,5.2083333333333375,0.368,0.736,0.9080970873786408,False,False,1.041666666666663,False,0.23541247484909456,256.0,True,Cole Young
663886,81,51.85185185185185,53.11853651083648,-1.2345679012345734,-8.64197530864198,6.172839506172839,0.289,0.578,0.8994186046511627,False,False,1.2345679012345734,False,0.25742574257425743,347.0,True,Tyler Stephenson
679529,73,54.794520547945204,56.02825099586873,-1.3698630136986356,-8.253424657534245,6.8493150684931505,0.28,0.56,0.8994186046511627,False,False,1.3698630136986356,False,0.22529069767441862,677.0,True,Spencer Torkelson
808975,69,53.62318840579711,55.70338435607995,-1.449275362318836,-8.695652173913038,4.347826086956524,0.216,0.432,0.8925,False,False,1.449275362318836,False,0.3525835866261398,170.0,False,Hyeseong Kim
666152,66,53.03030303030303,54.40789321625894,-1.5151515151515138,-9.090909090909093,6.060606060606055,0.307,0.614,0.8994186046511627,False,False,1.5151515151515138,False,0.2605042016806723,199.0,False,David Hamilton
694728,59,47.45762711864407,49.792728420397545,-1.6949152542372892,-10.16949152542373,5.084745762711868,0.226,0.452,0.8925,False,False,1.6949152542372892,False,0.3181818181818182,47.0,False,Brice Matthews
660844,118,55.932203389830505,57.52806097324699,-1.6949152542372947,-7.6271186440677985,4.23728813559322,0.252,0.504,0.8925,False,False,1.6949152542372947,False,0.08433734939759036,117.0,False,Leo Rivas
676609,92,52.17391304347826,54.02601077512858,-2.1739130434782594,-7.608695652173914,4.347826086956519,0.255,0.51,0.8925,False,False,2.1739130434782594,False,0.28393524283935245,378.0,True,José Caballero
671739,44,47.72727272727273,50.79855087343813,-2.2727272727272707,-11.363636363636365,6.8181818181818175,0.191,0.382,0.8654545454545455,False,False,2.2727272727272707,False,0.43037974683544306,640.0,True,Michael Harris II
686668,41,41.46341463414634,43.19701432455884,-2.4390243902439046,-12.195121951219518,7.317073170731703,0.265,0.53,0.8965753424657534,False,False,2.4390243902439046,False,0.3036238981390793,550.0,True,Brenton Doyle
694374,40,50.0,52.62282583991882,-2.500000000000002,-12.5,7.500000000000001,0.25,0.5,0.8925,False,False,2.500000000000002,False,0.28888888888888886,225.0,True,694374
669236,40,50.0,53.154303154208606,-2.500000000000002,-12.5,7.500000000000001,0.173,0.346,0.82348,False,False,2.500000000000002,False,0.3434065934065934,185.0,False,Jeremiah Jackson
670764,73,58.9041095890411,61.91047703234459,-2.73972602739726,-10.95890410958904,4.109589041095896,0.16,0.32,0.8160000000000002,False,False,2.73972602739726,False,0.21428571428571427,323.0,True,Taylor Walls
663743,36,63.888888888888886,65.42603320074151,-2.777777777777779,-11.111111111111116,8.402777777777706,0.299,0.598,0.8994186046511627,False,False,2.777777777777779,False,0.30616740088105726,246.0,True,Nick Fortes
664702,36,50.0,53.14323314720348,-2.777777777777779,-13.888888888888884,8.333333333333332,0.198,0.396,0.8654545454545455,False,False,2.777777777777779,False,0.26305609284332687,310.0,True,Myles Straw
643446,35,37.142857142857146,40.46139231185591,-2.857142857142858,-14.28571428571428,5.714285714285716,0.2,0.4,0.8654545454545455,False,False,2.857142857142858,False,0.26807980049875313,458.0,True,Jeff McNeil
657136,35,54.285714285714285,57.232078471886936,-2.857142857142858,-14.28571428571429,8.57142857142857,0.237,0.474,0.8925,False,False,2.857142857142858,False,0.328042328042328,191.0,False,Connor Wong
701807,66,40.909090909090914,43.50372031584861,-3.0303030303030276,-10.606060606060602,4.545454545454547,0.188,0.376,0.8654545454545455,False,False,3.0303030303030276,False,,,,Carson Benge
668670,33,54.54545454545454,58.47822018132074,-3.0303030303030387,-15.15151515151516,6.060606060606055,0.162,0.324,0.8160000000000002,False,False,3.0303030303030387,False,0.21554770318021202,149.0,False,Jake Rogers
677950,32,53.125,57.0732825361365,-3.125,-15.625,9.375,0.164,0.328,0.8160000000000002,False,False,3.125,False,0.3427172582619339,478.0,True,Alek Thomas
677588,31,51.61290322580645,54.1851811193078,-3.2258064516129004,-12.903225806451612,9.677419354838706,0.231,0.462,0.8925,False,False,3.2258064516129004,False,0.2779291553133515,176.0,False,José Tena
641680,30,53.333333333333336,55.30089134439585,-3.3333333333333326,-13.33333333333333,9.999999999999998,0.27,0.54,0.8965753424657534,False,False,3.3333333333333326,False,0.2970059880239521,444.0,True,Jonah Heim
663368,30,60.0,62.02802265295671,-3.3333333333333326,-13.33333333333333,9.999999999999998,0.251,0.502,0.8925,False,False,3.3333333333333326,False,0.1896551724137931,175.0,False,Blake Perkins
543760,59,45.76271186440678,49.44856787491906,-3.3898305084745783,-11.906779661016948,3.3898305084745783,0.139,0.278,0.8160000000000002,False,False,3.3898305084745783,False,0.2352389878163074,545.0,True,Marcus Semien
665926,54,64.81481481481481,68.53556175857078,-3.703703703703709,-11.111111111111116,5.555555555555558,0.149,0.298,0.8160000000000002,False,False,3.703703703703709,False,0.3522884882108183,388.0,True,Andrés Giménez
681297,53,50.943396226415096,55.25828998002608,-3.7735849056603765,-13.207547169811317,3.8207547169810883,0.132,0.264,0.8160000000000002,False,False,3.7735849056603765,False,0.2391304347826087,361.0,True,Colton Cowser
