umpire,n_total,n_bot,n_top,delta_spot7_vs_3_pp_med,delta_spot7_vs_3_pp_lo,delta_spot7_vs_3_pp_hi,p_dir_neg,delta_bot_vs_top_pp_med,delta_bot_vs_top_pp_lo,delta_bot_vs_top_pp_hi,p_dir_neg_bot,u_botslope_med,u_botslope_lo,u_botslope_hi,p_two_sided,q_bh,bh_significant_q10,ci_excludes_zero,abs_med_pp,flagged,direction
Marvin Hudson,360,114,136,0.10382899910621468,-2.207617528157883,2.4107858144473284,0.46375,0.7524941845294064,-1.3682394689347164,2.7586790543018016,0.2175,-0.0019910485056629824,-0.1877341755319796,0.1771047589994572,0.9275,0.9950000000000002,False,False,0.10382899910621468,False,reverse
Gabe Morales,378,119,134,0.1092402693261163,-2.118487156266398,2.5569613627558767,0.45125,0.7356437961627715,-1.4231547105228257,2.74484510320859,0.18625,-0.0010220542774144554,-0.1867404616217697,0.20955243268317353,0.9025,0.9950000000000002,False,False,0.1092402693261163,False,reverse
Bill Miller,468,139,185,0.11278496013891748,-2.295352038912202,2.1830478698423104,0.45875,0.6755951283285822,-1.2995931794344786,2.3671770349584813,0.2375,-0.004946767358058247,-0.19441274320084298,0.1669211916551968,0.9175,0.9950000000000002,False,False,0.11278496013891748,False,reverse
Willie Traynor,357,105,141,0.11469229810901482,-2.4590381554012364,2.254075156592327,0.4475,0.6780893643873576,-1.4808713183086153,2.44765478658546,0.21875,-0.0012516429874774898,-0.25080788201603105,0.19011787755352394,0.895,0.9950000000000002,False,False,0.11469229810901482,False,reverse
Brian O'Nora,419,126,150,0.11813053927927086,-2.1577991869350313,2.6405887567815913,0.455,0.744840899230903,-1.3776958273862998,2.7935655590292545,0.19125,-0.00019820396666913765,-0.21039408668326737,0.20546296539470138,0.91,0.9950000000000002,False,False,0.11813053927927086,False,reverse
Mark Ripperger,345,128,115,0.13144669390650066,-2.041433975030169,2.247708392248979,0.44625,0.7698529296319923,-1.4611864818883344,2.6853124374707944,0.19375,0.00034449595853458715,-0.2006141793185585,0.18802559193855492,0.8925,0.9950000000000002,False,False,0.13144669390650066,False,reverse
James Hoye,274,79,94,0.13268652896311073,-2.2465760683037326,2.5218186136818,0.4575,0.7376042626817458,-1.5383674897230581,2.838166339581716,0.19625,-0.000912884674850534,-0.21767650110647918,0.2046727752094926,0.915,0.9950000000000002,False,False,0.13268652896311073,False,reverse
Adam Beck,372,106,152,0.13628249759297661,-2.351985774574678,2.3552156214018978,0.46125,0.7545501166184021,-1.5610240848073842,2.6654449453703664,0.1975,-0.0016360991829704262,-0.22338290861807142,0.20474760156412716,0.9225,0.9950000000000002,False,False,0.13628249759297661,False,reverse
Brock Ballou,214,70,76,0.14253747411110962,-2.275293677797389,2.566293592572998,0.445,0.7536323764558484,-1.4514223810927998,2.9009706551012524,0.1825,-0.0015602803132368358,-0.19622222413103005,0.2042520118426233,0.89,0.9950000000000002,False,False,0.14253747411110962,False,reverse
Hunter Wendelstedt,431,131,175,0.14774780958187184,-1.8771177682141575,2.163892524533002,0.4325,0.6964735321991433,-1.1793416275180229,2.446399653831145,0.19375,0.000242931482967147,-0.1880614916001286,0.1904662681513086,0.865,0.9950000000000002,False,False,0.14774780958187184,False,reverse
Carlos Torres,402,120,157,0.14857915910217456,-2.3283248976899418,2.4731950936652285,0.445,0.7565516275007955,-1.4675171250366876,2.930545383155443,0.2,-0.001812767638919987,-0.21907872599489675,0.20524115783159047,0.89,0.9950000000000002,False,False,0.14857915910217456,False,reverse
Quinn Wolcott,443,149,170,0.1593538399253691,-1.8734452298110025,2.296729770515658,0.425,0.7687740007637112,-1.0120026367294448,2.7666840709602956,0.17,0.0010644221090086925,-0.16024026946869302,0.1908866029193119,0.85,0.9950000000000002,False,False,0.1593538399253691,False,reverse
Lance Barksdale,300,94,108,0.16207904140915774,-2.134723311520078,2.635812062618676,0.435,0.8298109085463079,-1.4627282945588715,2.74660745286255,0.1725,0.0015329479823234906,-0.1982276130371015,0.2016701391080018,0.87,0.9950000000000002,False,False,0.16207904140915774,False,reverse
Bruce Dreckman,425,130,153,0.16846314615065472,-2.1007709987137515,2.5285213657443553,0.42875,0.7793056197144321,-1.0572504682744446,2.9174308515408716,0.19125,0.0012660154735996136,-0.181987279302089,0.2091440939144591,0.8575,0.9950000000000002,False,False,0.16846314615065472,False,reverse
Doug Eddings,402,130,157,0.17125387239357304,-1.9495073281286521,2.224645911021892,0.43125,0.7362222233755433,-1.1874588184244073,2.526612884464066,0.19,0.0009172469303386188,-0.19296572181202917,0.19469771377159295,0.8625,0.9950000000000002,False,False,0.17125387239357304,False,reverse
John Libka,370,109,151,0.17337638831290136,-1.7866173795524083,2.301152339231701,0.42,0.7730533660078531,-1.0749097120926647,2.716505046257994,0.18125,0.000676099250848504,-0.15558647007443058,0.19950617349626915,0.84,0.9950000000000002,False,False,0.17337638831290136,False,reverse
Mike Estabrook,414,116,154,0.18240728685935959,-1.9330846492845322,2.9051840604216954,0.41625,0.8163289184834222,-1.2462643174278185,3.396080821411642,0.1525,0.0016691685023580327,-0.19696407713027514,0.23260377535860874,0.8325,0.9950000000000002,False,False,0.18240728685935959,False,reverse
Shane Livensparger,327,104,112,0.18432631089499996,-2.246615739368128,2.2620980813598495,0.435,0.7680447748701469,-1.3980753398330863,2.6187353192597573,0.18625,-0.0006654654400402946,-0.197972504960659,0.1631508080206546,0.87,0.9950000000000002,False,False,0.18432631089499996,False,reverse
Jeremie Rehak,308,88,124,0.18464758663541692,-2.262016289552184,2.824863255452178,0.43375,0.8290846599490365,-1.494564357191385,3.057021075299517,0.17875,0.00201847728615789,-0.19815233319840544,0.21437705322246636,0.8675,0.9950000000000002,False,False,0.18464758663541692,False,reverse
Malachi Moore,482,145,172,0.19066950909756297,-2.0214555890437627,2.6994480017078173,0.42875,0.784135981425943,-1.4396434586650764,2.9551525681795736,0.1775,2.6776778253248256e-05,-0.1868773261397772,0.22276605139421768,0.8575,0.9950000000000002,False,False,0.19066950909756297,False,reverse
John Tumpane,352,95,134,0.1913844512510421,-2.151395929625569,2.517164672573817,0.4425,0.7466344183277296,-1.4068761579540356,2.890735864088583,0.18375,0.0008916832953253168,-0.213960005024264,0.2267343345046381,0.885,0.9950000000000002,False,False,0.1913844512510421,False,reverse
Nate Tomlinson,392,114,133,0.19152685514965961,-1.8040574456202167,2.4671549570966977,0.42625,0.7615978719127336,-1.1266315191126117,2.656535173803674,0.17875,9.447130377109709e-05,-0.184666951848748,0.2102296622930015,0.8525,0.9950000000000002,False,False,0.19152685514965961,False,reverse
Jim Wolf,286,79,110,0.19455886277972567,-2.1004080140992487,2.5264427478248437,0.42625,0.7477275544468531,-1.1844371842720798,2.773463616390519,0.1825,0.002081880238552755,-0.17820164433061733,0.21604380880291996,0.8525,0.9950000000000002,False,False,0.19455886277972567,False,reverse
Adam Hamari,372,128,131,0.20632338795376348,-2.0732358403256352,2.5126525340142134,0.4275,0.8047329552648474,-1.2652420177022796,2.8015259975631883,0.16375,0.0026043895447485335,-0.1965624202618977,0.20049532691425037,0.855,0.9950000000000002,False,False,0.20632338795376348,False,reverse
Alfonso Márquez,325,108,112,0.20774249807030687,-1.9759823274113977,2.8218788544541606,0.425,0.8121289306219803,-1.1182771861570089,2.927471104981008,0.15625,0.003202079967071516,-0.15572669014258592,0.20931136909822992,0.85,0.9950000000000002,False,False,0.20774249807030687,False,reverse
Sean Barber,353,114,117,0.20887770133101724,-1.9076422018901786,2.5871811458915204,0.41125,0.7700462138301667,-1.0769743909132956,2.9892365026040624,0.17,0.0014213283236586209,-0.17099738433367567,0.20734841479249727,0.8225,0.9950000000000002,False,False,0.20887770133101724,False,reverse
Chad Fairchild,357,104,123,0.21665967791279495,-2.2775124083082847,2.6087593843693275,0.4125,0.788037277121445,-1.3008079084063766,2.911084299412365,0.1775,0.001592194311260532,-0.1951645649572548,0.2133103465790334,0.825,0.9950000000000002,False,False,0.21665967791279495,False,reverse
Chris Guccione,286,85,108,0.21783260985477892,-2.2267287877679074,3.107518436671439,0.42,0.8322158417520376,-1.3013682803041005,3.306875372709181,0.17625,0.0008544294323842681,-0.17458793400382114,0.22954162897529587,0.84,0.9950000000000002,False,False,0.21783260985477892,False,reverse
Manny Gonzalez,365,95,158,0.22639970971869983,-2.0301181711785206,2.6848280967927,0.41,0.8263804939155794,-1.2304435656710624,2.9043027577828613,0.15875,0.0017689019976632266,-0.16691231318776306,0.20056080520855568,0.82,0.9950000000000002,False,False,0.22639970971869983,False,reverse
Roberto Ortiz,338,107,108,0.23566239078567364,-2.0908197081877478,2.7382157094419015,0.4225,0.8080410458811388,-1.3538651951506584,3.2301319141853733,0.16875,0.0037426991649909336,-0.1869708529027011,0.22390996891921722,0.845,0.9950000000000002,False,False,0.23566239078567364,False,reverse
Tripp Gibson,424,131,143,0.2447390769159008,-2.1005944333368225,2.37290735646459,0.40125,0.8052177695331897,-1.2493069016398588,2.84961020043147,0.17125,0.0035947164372163113,-0.18782843643218722,0.2027553881877107,0.8025,0.9950000000000002,False,False,0.2447390769159008,False,reverse
Nestor Ceja,353,100,130,0.24916417923154244,-1.7022113492158173,2.922883442010531,0.3975,0.8984006555002755,-0.7220043059255499,3.357286573775373,0.14625,0.00637577780653145,-0.1456243279768682,0.24343559319201585,0.795,0.9950000000000002,False,False,0.24916417923154244,False,reverse
Mark Wegner,352,104,126,0.264663534308357,-2.1603362314563914,2.892085180774314,0.3975,0.8503325004519169,-1.3073155356165054,3.1317617431445104,0.1675,0.0016288693443293515,-0.17722427290058856,0.23777332063160567,0.795,0.9950000000000002,False,False,0.264663534308357,False,reverse
David Rackley,352,103,133,0.28163900815295073,-1.9117521263522952,2.9366420985888686,0.39,0.8868839327246081,-1.0613093821045265,3.4113531138371904,0.1475,0.003609478442019378,-0.16834191854194006,0.22846395593966987,0.78,0.9950000000000002,False,False,0.28163900815295073,False,reverse
Dan Merzel,350,103,122,0.30421961652590257,-2.0782334695447267,3.0373117777339673,0.38625,0.913936598507159,-0.968923747697974,3.2886210198857775,0.15125,0.0075567079946151595,-0.1670262604651082,0.22095054108306297,0.7725,0.9950000000000002,False,False,0.30421961652590257,False,reverse
Ryan Additon,373,121,132,0.3155817943685746,-1.9077038499868095,3.198029515242299,0.37375,0.980152872847051,-0.8654403014639369,3.41254396310209,0.12625,0.005265022171445682,-0.15228386057845744,0.23140760061395685,0.7475,0.9950000000000002,False,False,0.3155817943685746,False,reverse
Dan Iassogna,371,112,144,0.31713229644693697,-1.7623110114822618,2.5498611970306966,0.37125,0.8959996892827449,-0.8311692042107066,2.9626394761956143,0.1275,0.008784786574055556,-0.13618573833068756,0.2349506591761492,0.7425,0.9950000000000002,False,False,0.31713229644693697,False,reverse
Ben May,253,70,94,0.3325096301840247,-1.9843675193161638,3.0456843289477895,0.38875,0.8830577592050026,-1.1259246400065366,3.2915023362883,0.13625,0.005978649781135862,-0.16216595549724558,0.2486515023676104,0.7775,0.9950000000000002,False,False,0.3325096301840247,False,reverse
Lance Barrett,454,140,157,0.33441219606892836,-1.7739806183354183,3.1199536372230083,0.38,0.9404681299337581,-0.7613547222594316,3.5550266647667104,0.13125,0.006870435741061049,-0.13884626421693827,0.2602185016594989,0.76,0.9950000000000002,False,False,0.33441219606892836,False,reverse
John Bacon,226,59,101,0.3353184883015281,-1.6573828013944836,2.5839780704381137,0.37,0.8253551777265777,-1.0678144928692255,2.889539502123682,0.1325,0.009693171605968925,-0.16512159919185396,0.2557845311906729,0.74,0.9950000000000002,False,False,0.3353184883015281,False,reverse
Chris Conroy,308,92,113,0.33615744299241856,-1.9969877939540706,2.681319212019411,0.39,0.9041084158393498,-1.0155903107662239,3.162792559335344,0.14875,0.004543899926399021,-0.15832855704403181,0.23037415234268147,0.78,0.9950000000000002,False,False,0.33615744299241856,False,reverse
Charlie Ramos,355,100,127,0.34084498883283354,-2.071718768774665,2.9859112188021535,0.38125,0.9729417944153329,-1.114092128569152,3.404668635595608,0.15125,0.007573866913771683,-0.15500998408870253,0.22772458229520504,0.7625,0.9950000000000002,False,False,0.34084498883283354,False,reverse
Clint Vondrak,288,99,97,0.35534146411975165,-1.897740553135451,2.9708440198276724,0.36625,0.912984944188916,-0.9627617065544841,3.4775068180271367,0.1375,0.007359358719175393,-0.1601137744893159,0.288814946210328,0.7325,0.9950000000000002,False,False,0.35534146411975165,False,reverse
Derek Thomas,324,91,128,0.41277709176961164,-1.637295459893529,3.240001574686625,0.34875,0.9762906301157392,-0.7509154228953393,3.6459655449792305,0.12875,0.01503547878276575,-0.13055627711963647,0.29522570542573745,0.6975,0.9950000000000002,False,False,0.41277709176961164,False,reverse
D.J. Reyburn,338,109,113,0.4146574917985535,-1.6681580130772553,2.9226617528334735,0.36875,0.939083339101382,-0.7777703802532479,3.4926846502007223,0.1175,0.011406650971381917,-0.12633417143009212,0.26211303981918144,0.7375,0.9950000000000002,False,False,0.4146574917985535,False,reverse
Jansen Visconti,270,78,98,0.4209852740648168,-1.6992886876684012,3.394715273861889,0.34,0.9614550646182607,-0.7855096075867509,3.6603184407346676,0.12375,0.012185711495206673,-0.13486153787192018,0.3020716548041609,0.68,0.9950000000000002,False,False,0.4209852740648168,False,reverse
Chad Whitson,388,105,154,0.4380533810780074,-1.5737169867530973,3.1253246326205346,0.34,1.010834751822323,-0.6859605866335425,3.6325932111199797,0.09625,0.014198430994926172,-0.11705131920105899,0.26135747542173865,0.68,0.9950000000000002,False,False,0.4380533810780074,False,reverse
Jordan Baker,410,118,162,0.47011499833867765,-1.7137882954223365,3.2158875502866637,0.31375,1.015079521455986,-0.6662470778586148,3.5941884629892233,0.10375,0.017680912010041627,-0.12389961766135492,0.29415011685963005,0.6275,0.9950000000000002,False,False,0.47011499833867765,False,reverse
Scott Barry,291,74,116,0.48533101258250166,-1.6241180566534177,3.6602095714368925,0.33125,1.0432900846705728,-0.8085175191160595,3.9898618896729032,0.115,0.014200191898734916,-0.13795026396378124,0.2966133458325822,0.6625,0.9950000000000002,False,False,0.48533101258250166,False,reverse
Brian Walsh,318,89,124,0.48612947524087624,-1.4188344749082382,3.3750082081511845,0.33375,1.0004639390453818,-0.6193879279659814,3.743624387634052,0.10125,0.019894874972844593,-0.12127592592692715,0.31409834158000743,0.6675,0.9950000000000002,False,False,0.48612947524087624,False,reverse
Adrian Johnson,357,111,127,0.5043495862980862,-1.4302050674696407,3.41874949840095,0.29875,0.9929278939658226,-0.5180254884302671,3.6190141525836745,0.09625,0.022334270547374135,-0.12107488988454533,0.31899884238357923,0.5975,0.9950000000000002,False,False,0.5043495862980862,False,reverse
Erich Bacchus,418,142,139,0.5769429204306009,-1.3925261919196907,3.724967622465475,0.28375,1.1146945713049694,-0.41424117079588263,4.335089471148858,0.08,0.028169520241268325,-0.08099200362041213,0.3530414202801543,0.5675,0.9950000000000002,False,False,0.5769429204306009,False,reverse
