pick_type,target_player,target_mlbam,analog_player,analog_mlbam,season,cosine_sim,first22_woba,first22_xwoba_gap,ros_woba,ros_delta_vs_prior,ros_iso,ros_k_rate
fake_hot,Carter Jensen,695600,Willson Contreras,575929,2021,0.8342770897370463,0.38563218390804593,-0.03295830979459763,0.3453045685279188,-0.011047611897719134,0.17994100294985252,0.2777777777777778
fake_hot,Aaron Judge,592450,Fernando Tatís,665487,2021,0.9417482034814898,0.382967032967033,0.0030957446004598044,0.4298440979955457,0.020166803513563702,0.32581453634085217,0.27850877192982454
fake_hot,Aaron Judge,592450,Giancarlo Stanton,519317,2016,0.9209500117229745,0.402020202020202,-0.019298212121212133,0.3516666666666666,-0.06030744336569582,0.23333333333333336,0.2972972972972973
fake_hot,Aaron Judge,592450,Matt Davidson,571602,2018,0.9189644990189559,0.4284210526315789,0.01550221052631584,0.3128428927680798,-0.05583029509246695,0.14689265536723164,0.3308457711442786
fake_hot,Aaron Judge,592450,Chris Davis,448801,2016,0.9152871755525495,0.36578947368421055,0.02354926315789474,0.35079928952042627,-0.05400253974786651,0.23155737704918034,0.3339160839160839
fake_hot,Aaron Judge,592450,Marcell Ozuna,542303,2019,0.9092977753070675,0.4666666666666667,-0.0386170714285714,0.3416483516483516,-0.02430699686786647,0.2,0.2013129102844639
fake_hot,Corbin Carroll,682998,Elly De La Cruz,682829,2024,0.9168251602824169,0.45795454545454545,-0.08646853931936505,0.34784053156146183,0.027579868054352807,0.19669117647058826,0.31198686371100165
fake_hot,Corbin Carroll,682998,Willson Contreras,575929,2019,0.9125784132048621,0.44677419354838704,-0.06891806451612897,0.3640575079872205,-0.0039892256248094116,0.23943661971830982,0.23492063492063492
fake_hot,Corbin Carroll,682998,Ian Happ,664023,2020,0.8833724555556254,0.46125,-0.068662675,0.34591836734693876,-0.02433062978093037,0.2137404580152672,0.2702702702702703
fake_hot,Corbin Carroll,682998,Brandon Lowe,664040,2023,0.8784175627789872,0.4017241379310345,-0.009962856342655924,0.32693409742120344,-0.024559324893730528,0.18421052631578946,0.26
