season,pitcher,starts_full
2023,657053,16
2023,657093,1
2023,657140,7
2023,657277,33
2023,657376,32
2023,657514,6
2023,657571,7
2023,657746,29
2023,657756,13
2023,658648,6
2023,659275,4
2023,660261,7
2023,660271,23
2023,660593,3
2023,660761,7
2023,660813,1
2023,660906,1
2023,661309,1
2023,663362,6
2023,663372,10
2023,663423,1
2023,663460,3
2023,663465,3
2023,663474,4
2023,663556,21
2023,663559,14
2023,663562,6
2023,663567,11
2023,663623,24
2023,663687,6
2023,663704,2
2023,663738,9
2023,663753,1
2023,663765,8
2023,663773,7
2023,663776,28
2023,663903,29
2023,663941,3
2023,663947,1
2023,664028,2
2023,664062,20
2023,664192,9
2023,664199,2
2023,664285,31
2023,664299,31
2023,664353,10
2023,665001,3
2023,665152,32
2023,665622,17
2023,665795,20
2023,665871,10
2023,666129,30
2023,666142,12
2023,666154,3
2023,666157,7
2023,666159,15
2023,666200,32
2023,666201,19
2023,666204,1
2023,666205,13
2023,666214,19
2023,666277,1
2023,666720,1
2023,666745,13
2023,668676,5
2023,668678,34
2023,668834,1
2023,668868,9
2023,668873,1
2023,668881,22
2023,668909,16
2023,668933,26
2023,669022,27
2023,669160,9
2023,669194,27
2023,669203,32
2023,669211,1
2023,669276,1
2023,669302,32
2023,669330,20
2023,669373,15
2023,669387,1
2023,669395,1
2023,669424,1
2023,669432,4
2023,669438,1
2023,669456,21
2023,669459,2
2023,669461,11
2023,669674,1
2023,669713,11
2023,669854,7
2023,669923,31
2023,669947,11
2023,670046,3
2023,670124,1
2023,670167,2
2023,670174,1
2023,670241,2
2023,670912,32
2023,670950,3
2023,670970,1
2023,671096,21
2023,671106,24
2023,671131,4
2023,671212,3
2023,671737,21
2023,672282,28
2023,672391,2
2023,672578,4
2023,672582,3
2023,672710,11
2023,672715,1
2023,672851,10
2023,673540,29
2023,674003,8
2023,674072,16
2023,674370,9
2023,674444,4
2023,674681,1
2023,675540,9
2023,675627,12
2023,675911,32
2023,676083,1
2023,676092,1
2023,676106,3
2023,676130,7
2023,676206,1
2023,676254,13
2023,676272,22
2023,676440,25
2023,676477,10
2023,676534,4
2023,676596,3
2023,676664,32
2023,676684,4
2023,676710,23
2023,676775,5
2023,677651,6
2023,677944,4
2023,677960,12
2023,678394,28
2023,679525,8
2023,680232,1
2023,680570,23
2023,680686,30
2023,680689,4
2023,680694,30
2023,680723,8
2023,680735,3
2023,680742,1
2023,681190,5
2023,681217,8
2023,681806,3
2023,681857,18
2023,681869,1
2023,681882,5
2023,681911,1
2023,682052,1
2023,682175,1
2023,682227,23
2023,682243,25
2023,682847,15
2023,682990,8
2023,683155,2
2023,683175,5
2023,683769,7
2023,685410,6
2023,686218,11
2023,686610,22
2023,686613,29
2023,686651,2
2023,686730,2
2023,686752,3
2023,686753,3
2023,686826,1
2023,686839,2
2023,686973,10
2023,687798,1
2023,687830,4
2023,689225,1
2023,689266,7
2023,690986,7
2023,691587,19
2023,693433,18
2023,693821,31
2023,694297,18
2023,694363,11
2023,694813,4
2023,695243,6
2023,696136,7
2023,700363,5
2024,434378,17
2024,450203,30
2024,453286,9
2024,456501,2
2024,458681,23
2024,471911,21
2024,477132,7
2024,489119,2
2024,500779,31
2024,502043,30
2024,502171,3
2024,502179,1
2024,502624,1
2024,506433,16
2024,518489,4
2024,518585,3
2024,518876,13
2024,519242,29
2024,527048,26
2024,527054,1
2024,542881,31
2024,542888,7
2024,543037,17
2024,543135,29
2024,543243,28
2024,543294,24
2024,543518,2
2024,544150,24
2024,547001,4
2024,547179,24
2024,548389,14
2024,554430,32
2024,570632,9
2024,571510,8
2024,571578,32
2024,571656,1
2024,571760,31
2024,571927,7
2024,571945,32
2024,571948,1
2024,572020,21
2024,572971,4
2024,573009,2
2024,573186,29
2024,579328,32
2024,592332,31
2024,592351,19
2024,592662,7
2024,592791,28
2024,592836,15
2024,592866,13
2024,593334,2
2024,593423,30
2024,593958,10
2024,594798,3
2024,594835,7
2024,594902,29
2024,595345,1
2024,596001,6
2024,596295,30
2024,601713,26
2024,605135,31
2024,605156,4
2024,605182,4
2024,605288,7
2024,605397,19
2024,605400,33
2024,605452,10
2024,605463,1
2024,605483,20
2024,605488,7
2024,605513,7
2024,607067,27
2024,607074,32
2024,607192,22
2024,607200,31
2024,607259,16
2024,607455,2
2024,607536,21
2024,607625,33
2024,607644,4
2024,608331,29
2024,608334,8
2024,608344,16
2024,608379,29
2024,608566,1
